"","V1","C_AICC","T0","Tm","c","bAICC","Snl_B0","Snl_E","Snl_E_h","Snl_T_h","Snl_AICC","Snl_Converge","Snh_B0","Snh_E","Snh_E_l","Snh_T_l","Snh_AICC","Snh_Converge","Full_B0","Full_E_h","Full_E_l","Full_E","Full_T_l","Full_T_h","Full_AICC","Full_Converge","Sample_size"
"830","MTD2102",-84.088410978627,1.00598832132478,35.8095253699936,2.60370823509617e-07,-87.5065406181416,7.47647289952148e-05,0.773047334266089,2.66656346047432,303.142441980308,-78.5401328553331,0.9,0.000548551778027413,0,-0.607875951014033,287.332678012636,-60.6408622092971,1,0.000433808312980702,2.40781105751714,-0.607875951014033,0.378190932573582,298.15,302.271963130516,-27.8309964061556,1,6
"831","MTD2103",-77.5894525865559,0,35.0157744789442,2.55558479683159e-07,-71.2175011953434,0.000162498219533652,0.41579974338632,1.85211790428062,307.555669804834,-76.5373566360455,0.7,0.000748258239665998,0,-0.356857435780344,294.635402553504,-69.0416984087931,1,0.000583784896288474,1.74401856727044,-0.356857435780344,0.197768086666377,298.15,306.149867185218,-26.3191491075014,1,6
"832","MTD2104",-100.239137009365,4.99999771771234,35.0000000001044,6.03347399109031e-08,-97.3442107424619,0.000141098760746466,0.118036269815133,1.1309535711552e-05,308.150591726989,-94.667334586991,0.95,7.05512758074397e-05,0.118029209242069,-0.138919029780293,66.4955598370586,-94.6673345871153,1,9.45721924930797e-05,4.35549105063541,-0.138919029780293,0.166930295923424,273.15,318.15,-48.6940085605537,0.05,7
"833","MTD2105",-112.459230982927,0,40,3.92228390205004e-08,-120.46119857513,1.36176596740496e-05,0.754331805468293,29.326663354835,307.589519168567,-115.497178451026,1,9.38013581573897e-05,0,-0.24377836617918,263.901699347869,-108.425215702297,1,4.1368885687573e-05,30.4959195761437,-0.24377836617918,0.633649438829453,303.15,307.445015976674,-74.1249290156932,1,8
"834","MTD2106",-89.482323051195,0,35.0085487787505,7.75604376250662e-08,-100.1549151355,1.45717239061424e-05,1.02213698167678,26.4582223378581,302.530095619637,-94.8309185077346,1,0.000133359495478103,0,-1.08414264461573,284.74835769104,-86.7313966744178,1,1.7381390530226e-05,13.8412600121594,-1.08414264461573,0.965691041948842,273.15,301.980411890611,-49.579502830705,0.9,7
"835","MTD2107",-133.281287144614,0,30.002477038987,4.71528728574837e-08,-119.064968466653,1.98571078315782e-05,0.628699774700438,1.815981972042,298.15,-129.57945100949,0.9,7.32774728187706e-05,0,-0.513293249078073,286.33726089517,-113.491926702465,1,4.26665298587766e-05,1.6805748633448,-0.513293249078073,0.402478907682031,280.415407455058,298.15,-85.2904720027621,1,7
"836","MTD2108",-127.656115575501,0,30.0028557051126,6.53887459235008e-08,-109.335631528038,3.15597102631281e-05,0.504945024164666,1.24899680915397,302.377047318662,-127.480302384319,0.95,0.000107743880960911,0.0782421612951714,-0.395606263852584,290.547676195617,-118.549786506487,1,0.000126138483573917,1.16420451107477,-0.395606263852584,0.204176062834191,298.15,301.640869133822,-82.2180801258092,1,7
"837","MTD2109",-109.162500169313,0,30.0028901565094,1.50435050894848e-07,-98.6354843912614,7.96507052129513e-05,0.343375234819865,22.7491927673222,303.382341277122,-109.925847588891,0.85,0.000255247966786965,0.0530405865849415,-0.375866842945693,290.266706639137,-102.854884463691,1,0.000187150873581253,20.0192695277387,-0.375866842945693,0.173765561679585,283.922382989604,303.348072766786,-65.4501656714906,0.95,7
"838","MTD5050",27.5944606859332,20,40,0.000371977733336969,81.4500289363485,0.000183553263309387,1.88664337175117,2.13473755602214,318.15,55.3221919349117,1,2.19283936013402,0,-0.729769474341033,310.858426465396,62.7644976284423,1,0.26015904004161,1.22530998429478,-0.729769474341033,0.670040332274221,336.23391121,318.15,73.5020459087899,1,17
"839","MTD5073",90.2417842095122,NA,NA,NA,NA,0.000173223120712184,3,3.29808350912821,318.15,104.445006880989,1,906.117583698813,0,-2.36291570130272,317.041483281633,108.454231599609,1,5873.11129902063,1.41422740936369,-2.36291570130272,0,327.1548,318.15,147.903903202155,1,6
"840","MTD5074",130.510976872278,NA,NA,NA,NA,0.00225322642564301,2.62714842491687,3.30602631050238,318.15,147.920901589192,1,875.9409438706,0,-1.99735873762176,311.507524647066,158.183100106544,0.95,7959.6970350575,1.41035182470445,-1.99735873762176,0,327.0923,318.15,180.217872047205,1,9
"841","MTD5075",133.184093213467,NA,NA,NA,NA,0.00555664199950836,2.467440666963,3.1261609485382,318.15,150.333463016651,1,959.381370915145,0,-1.91192398173421,311.364850695369,159.810748389627,1,8323.7673078489,1.36495568894991,-1.91192398173421,0,327.1912,318.15,182.057004135881,1,9
